Animal ID,Length(cm),Developmental Stage,Sex,Vertebra,Region,Orientation,Spinous Process Length (mm),Right Transverse Process Length (mm),Left Transverse Process Length (mm),Average Transverse Process Length (mm),Sample #,Yield Strain,Yield Strength,Stiffness,Toughness
MNW16019,206,calf,M,Ca2,Ca1,RC,18.97,76.44,72.65,74.545,1,0.10554,16.08097,279.38998,0.848592787
MNW16019,206,calf,M,Ca2,Ca1,RC,18.97,76.44,72.65,74.545,2,0.09801,16.30991,312.44501,0.79926714
MNW16019,206,calf,M,Ca2,Ca1,RC,18.97,76.44,72.65,74.545,3,0.12784,18.68806,265.68977,1.194540795
MNW16019,206,calf,M,Ca2,Ca1,RC,18.97,76.44,72.65,74.545,4,0.14032,17.8405,346.78601,1.25168948
MNW16019,206,calf,M,Ca2,Ca1,RC,18.97,76.44,72.65,74.545,5,0.1269,9.57937,125.78336,0.607811027
MNW16019,206,calf,M,Ca6,Ca2,RC,10.76,71.55,72.57,72.06,1,0.15044,19.2267,314.80132,1.446232374
MNW16019,206,calf,M,Ca6,Ca2,RC,10.76,71.55,72.57,72.06,2,0.14698,14.09939,208.13017,1.036164171
MNW16019,206,calf,M,Ca6,Ca2,RC,10.76,71.55,72.57,72.06,3,0.13567,18.25764,261.2379,1.238507009
MNW16019,206,calf,M,Ca6,Ca2,RC,10.76,71.55,72.57,72.06,4,0.16364,22.44003,283.50379,1.836043255
MNW16019,206,calf,M,Ca6,Ca2,RC,10.76,71.55,72.57,72.06,5,0.12064,19.2667,327.4036,1.162167344
MNW16014,209,calf,F,T8,T,RC,55.8,32.1,33.08,32.59,1,0.13636,8.51826,91.23567,0.580774967
MNW16014,209,calf,F,T8,T,RC,55.8,32.1,33.08,32.59,2,0.12376,9.23607,139.77284,0.571528012
MNW16014,209,calf,F,T8,T,RC,55.8,32.1,33.08,32.59,3,0.15062,17.71305,224.27289,1.333969796
MNW16014,209,calf,F,T8,T,RC,55.8,32.1,33.08,32.59,4,0.13373,15.22119,166.39094,1.017764869
MNW16014,209,calf,F,T8,T,RC,55.8,32.1,33.08,32.59,5,0.10232,8.38671,114.16264,0.429064084
MNW16014,209,calf,F,L1,L,RC,44.16,76.85,73.63,75.24,1,0.089234,4.70499,87.35369,0.209922539
MNW16014,209,calf,F,L1,L,RC,44.16,76.85,73.63,75.24,2,0.08148,1.60856,34.39406,0.065532734
MNW16014,209,calf,F,L1,L,RC,44.16,76.85,73.63,75.24,3,0.07732,4.80951,96.95889,0.185935657
MNW16014,209,calf,F,L1,L,RC,44.16,76.85,73.63,75.24,4,0.11048,13.67268,216.16734,0.755278843
MNW16014,209,calf,F,L1,L,RC,44.16,76.85,73.63,75.24,5,0.13534,13.79508,199.61372,0.933513064
MNW16014,209,calf,F,Ca2,Ca1,RC,44.92,97.63,92.65,95.14,1,0.09175,14.83805,252.87036,0.680695544
MNW16014,209,calf,F,Ca2,Ca1,RC,44.92,97.63,92.65,95.14,2,0.08245,11.56545,220.6492,0.476785676
MNW16014,209,calf,F,Ca2,Ca1,RC,44.92,97.63,92.65,95.14,3,0.11981,13.90936,260.9821,0.833240211
MNW16014,209,calf,F,Ca2,Ca1,RC,44.92,97.63,92.65,95.14,4,0.1075,23.75017,451.0849,1.276571638
MNW16014,209,calf,F,Ca2,Ca1,RC,44.92,97.63,92.65,95.14,5,0.08952,19.70783,335.67691,0.882122471
